variant,kg de CO2 eq EFMA 2011 / unité de population du variant
bulk_ammonitrate_33,960
bulk_ammonitrate_27,1240
bulk_diammo_phosphorus_21_53_0,700
bulk_urea_46,780
mixed_chemical_fertilizer,1000
herbicide,"20,4"
insecticide,"20,4"
fungicide,"20,4"
molluscicide,12
wheat_seed_25,"0,8"
hard_wheat_seed_25,"0,8"
sorghum_seed_25,"0,8"
winter_barley_seed_25,"0,8"
corn_seed_50tg,"0,8"
seed,"0,8"
seedling,"0,8"
diesel,"2,6"
gas,"2,28"
electricity,"0,09"
running_water,"0,01"
